Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score,Pass
2,2,1,1,0,1,67,1
1,0,2,0,1,2,61,0
2,3,1,3,1,2,74,1
3,2,2,3,0,2,71,1
1,3,0,1,2,2,70,1
1,2,2,3,2,1,71,1
3,2,1,1,0,0,67,1
3,1,0,0,0,0,66,1
1,3,0,2,0,0,69,1
2,3,2,1,0,3,72,1
1,1,2,2,2,2,68,1
1,3,0,2,1,0,71,1
2,2,2,3,1,2,70,1
0,2,2,1,1,1,66,1
0,1,2,1,0,2,65,1
1,0,2,1,1,2,64,0
0,0,3,1,0,1,60,0
2,0,0,2,0,1,65,1
0,1,3,3,2,0,67,1
0,1,1,0,2,2,66,1
3,1,0,3,0,0,69,1
1,3,0,2,0,1,72,1
1,1,2,3,0,0,66,1
0,1,2,3,0,1,66,1
1,0,0,1,1,1,63,0
2,0,0,0,0,1,64,0
0,3,0,3,0,0,65,1
2,2,0,3,0,0,71,1
0,2,0,0,0,1,66,1
1,0,0,0,1,0,64,0
0,2,0,0,0,2,63,0
3,0,1,1,0,1,69,1
1,0,2,3,1,1,67,1
0,0,0,0,1,1,61,0
3,0,0,3,1,1,68,1
0,1,0,3,0,1,61,0
2,0,1,3,1,1,64,0
0,3,3,0,1,3,67,1
0,1,2,2,0,3,63,0
2,0,0,3,0,2,64,0
2,0,2,0,2,0,67,1
2,2,0,0,0,0,65,1
1,0,1,3,0,1,64,0
1,3,1,2,2,0,70,1
0,3,3,2,0,1,68,1
0,0,2,3,1,1,65,1
1,1,0,2,0,1,68,1
3,0,0,1,1,1,64,0
2,2,1,1,2,0,68,1
0,1,0,0,1,1,63,0
2,1,1,1,0,2,64,0
1,0,1,1,0,1,64,0
0,2,2,0,1,2,67,1
2,1,2,3,0,1,67,1
3,0,1,0,1,2,66,1
3,2,0,2,0,2,72,1
0,2,0,3,0,0,65,1
1,3,0,2,0,2,71,1
2,0,2,2,1,0,66,1
3,3,2,1,0,1,68,1
1,2,1,3,0,3,70,1
1,0,3,1,0,1,62,0
0,2,3,2,1,2,68,1
0,1,3,3,1,1,67,1
3,3,2,0,0,1,71,1
3,0,2,3,0,0,68,1
1,2,2,3,0,1,69,1
3,1,0,2,2,0,70,1
2,3,0,1,0,2,69,1
0,1,1,3,0,2,65,1
2,3,1,0,2,1,70,1
3,3,1,1,0,1,71,1
1,1,1,2,0,2,65,1
3,3,0,3,1,0,72,1
0,3,2,0,0,2,69,1
3,0,1,0,0,1,66,1
2,1,1,3,2,1,68,1
1,2,2,1,0,1,65,1
2,1,0,0,0,3,64,0
0,0,1,0,0,1,60,0
1,0,1,2,0,0,65,1
2,1,0,2,0,1,66,1
3,1,0,3,2,1,74,1
1,0,0,0,1,1,62,0
0,3,1,3,1,2,70,1
1,2,1,3,0,1,69,1
3,0,1,1,2,2,67,1
2,2,0,0,1,0,64,0
1,2,0,3,2,1,71,1
2,3,1,0,0,1,68,1
2,0,1,2,0,2,64,0
3,0,2,1,0,2,63,0
0,3,0,3,0,2,71,1
1,3,0,1,0,1,69,1
1,2,0,1,2,0,100,1
0,3,0,3,2,1,68,1
2,0,1,3,0,1,62,0
2,2,1,2,1,1,68,1
1,0,0,1,1,1,66,1
1,0,0,3,0,1,64,0
0,3,0,3,1,1,67,1
1,0,2,1,0,2,65,1
1,1,1,2,0,1,65,1
0,3,0,0,0,1,69,1
1,0,0,2,0,1,63,0
2,3,0,3,2,2,72,1
3,3,1,0,1,3,76,1
2,2,1,1,2,1,69,1
2,0,1,1,2,0,67,1
1,1,3,3,1,1,69,1
0,1,0,2,0,0,63,0
1,1,3,1,2,1,67,1
1,1,1,0,1,3,66,1
3,3,1,2,1,0,79,1
