pmid,title,journal,pub_date,search_topic
41487713,"Sleep Duration, Quality, and Factors Affecting Sleep Health Among Young People in the California Bay Area: A Cross-Sectional Study.",Cureus,2025 Dec,sleep deprivation academic performance
41413763,Epidemiology and risk factors of migraine and TTH in Sudanese health sciences students.,The journal of headache and pain,2025 Dec 18,sleep deprivation academic performance
41397579,Decreased top-down attention modulation and compensatory recruitment of perception representation in vigilance performance after sleep deprivation.,Biological psychology,2026 Jan,sleep deprivation academic performance
41302674,The Role of Fatigue in the Relationship Between Sleep and Concentration Among Online College Students.,International journal of environmental research and public health,2025 Nov 15,sleep deprivation academic performance
41216182,Rest assured: Promoting sleep health in undergraduate education.,Sleep medicine: X,2025 Dec 15,sleep deprivation academic performance
41072127,Detection of nocturnal epileptic seizures using a wearable armband: A deep learning approach combining accelerometry and photoplethysmography signals.,Computer methods and programs in biomedicine,2026 Jan,sleep deprivation academic performance
41018419,Impact of Sleep Deprivation on Cognition and Academic Scores: A Three-Month Longitudinal Study Among Indian Medical Students.,Cureus,2025 Aug,sleep deprivation academic performance
40976638,The Reply.,The American journal of medicine,2025 Oct,sleep deprivation academic performance
40777666,Prevalence of Sleep Inadequacy Among Badminton Players: A Systematic Review.,Cureus,2025 Jul,sleep deprivation academic performance
40753283,Clinical utility of self-reported sleep duration and insomnia symptoms in type 2 diabetes prediction.,Diabetologia,2025 Nov,sleep deprivation academic performance
40709128,Influence of Altered Sleep Patterns on Health-Related Quality of Life and Academic Performance Among Dental Students: A Cross-Sectional Study.,Cureus,2025 Jun,sleep deprivation academic performance
40668014,"[Relationship Between Sleep Quality, Smartphone Addiction, and Academic GPA in Medical Students].",Revista medica de Chile,2025 Jul,sleep deprivation academic performance
40663194,Implications of sleep loss or sleep deprivation on muscle strength: a systematic review.,Sleep & breathing = Schlaf & Atmung,2025 Jul 15,sleep deprivation academic performance
40647329,Nutritional and Lifestyle Behaviors and Their Influence on Sleep Quality Among Spanish Adult Women.,Nutrients,2025 Jul 4,sleep deprivation academic performance
40480438,Differences in resting-state theta power predicts vulnerability in alertness during prolonged wakefulness.,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,2025 Aug,sleep deprivation academic performance
41601096,"To what extent do cognitive abilities, conscientiousness, and physical activity predict academic performance?",Acta psychologica,2026 Feb,exercise cognition students
41595811,Lifestyle Behaviors and Cognitive Well-Being: A Cross-Sectional Study Exploring the Role of Lifestyle Factors Among Omani University Students.,International journal of environmental research and public health,2025 Dec 22,exercise cognition students
41594799,Neural Correlates of Cognitive Gains Induced by Commercially Available Cognitive Training Programs: A Meta-Analysis of Neuroimaging Studies.,Brain sciences,2026 Jan 6,exercise cognition students
41579397,Psychosocial Factors Affecting Physical Activity Behaviors of Adolescents in Türkiye: The Theory of Planned Behavior Model.,American journal of health promotion : AJHP,2026 Jan 24,exercise cognition students
41567159,Cognitive and athletic performances in tropical climate: The effect of time of day.,"Temperature (Austin, Tex.)",2025,exercise cognition students
41561845,Reflections of digital slavery in physical inactivity: examining gender-based physical activity attitudes and smartphone addiction among university students.,Frontiers in public health,2025,exercise cognition students
41553302,Love letters to the self: building heart skills through positive autoethnography.,"International review of psychiatry (Abingdon, England)",2026 Jan 19,exercise cognition students
41536675,[Effects of Physical Exercise Intervention on Mild-to-Moderate Depression in College Students].,Sichuan da xue xue bao. Yi xue ban = Journal of Sichuan University. Medical science edition,2025 Nov 20,exercise cognition students
41526014,"UNIversity students' LIFEstyle behaviours and Mental health cohort (UNILIFE-M): study protocol of a multicentre, prospective cohort study.",BMJ open,2026 Jan 12,exercise cognition students
41525086,Social Media Use and Well-Being Across Adolescent Development.,JAMA pediatrics,2026 Jan 12,exercise cognition students
41521628,"Identifying and Conceptualizing Quality Indicators Influencing Prehospital Disaster Exercises Across Structure, Conduct, and Outcome: A Comprehensive Systematic Review.",Disaster medicine and public health preparedness,2026 Jan 12,exercise cognition students
